"","department","N","alpha_mean","alpha_sd","alpha_q25","alpha_q75","alpha","pKS"
"1","Antioquia department",37,2.47,0.6,2.14,2.59,2.98,0.77
"2","Arauca department",48,2.52,0.54,2.16,2.73,2.26,0.21
"3","Bogotá department",46,2.65,0.68,2.07,2.95,2.2,0.12
"4","Boyacá department",45,2.69,0.55,2.2,3.01,4.19,0.14
"5","Córdoba department",49,2.53,0.52,2.06,2.86,1.97,0.33
"6","Caquetá department",44,2.58,0.63,2.09,3.04,2.03,0.18
"7","Cauca department",46,2.53,0.51,2.23,2.71,3.58,0.7
"8","Cesar department",45,2.76,0.75,2.21,3.16,2.26,0.37
"9","Chocó department",46,2.5,0.6,2,2.88,2.2,0.82
"10","Cundinamarca department",45,2.38,0.53,2.03,2.71,2.51,0.27
"11","Guaviare department",46,2.41,0.41,2.12,2.68,1.88,0.61
"12","Huila department",44,2.7,0.86,2.12,2.82,4.99,0.47
"13","Magdalena department",44,2.41,0.49,2.04,2.64,2.86,0.91
"14","Meta department",44,2.46,0.46,2.13,2.82,2.55,0.72
"15","Nariño department",47,2.65,0.63,2.25,2.79,2.07,0.19
"16","Norte de Santander department",44,2.51,0.44,2.16,2.78,2.17,0.14
"17","Sucre department",38,2.61,0.71,1.98,2.88,2.02,0.51
"18","Tolima  department",44,2.56,0.64,2.15,2.95,2.8,0.77
"19","Valle del Cauca  department",43,2.56,0.62,2.11,2.84,2.02,0.95
"20","Bolívar department",43,2.62,0.72,2.15,2.89,1.76,0.01
"21","Casanare department",42,2.46,0.76,1.93,2.62,2.07,0.59
"22","Putumayo department",42,2.43,0.64,1.89,2.75,1.81,0.09
"23","Santander department",39,2.57,0.57,2.19,2.75,2.55,0.75
