"","dep_id","xmin","alpha","ntail","pKS"
"dep.2.b",2,3,2.1618327468834,159,0.3642
"dep.3.b",3,5,3.15299996941012,21,0.909
"dep.5.b",5,1,1.72203946672885,25,0.0462
"dep.6.b",6,1,1.76235240006365,92,0.1768
"dep.7.b",7,3,2.54532013818507,24,0.12
"dep.8.b",8,1,1.6356378791348,22,0.0718
"dep.9.b",9,1,2.00729054193486,46,0.2184
"dep.10.b",10,5,2.85599027999288,41,0.047
"dep.11.b",11,4,3.29441974124102,10,0.944
"dep.12.b",12,6,2.56061735254081,29,0.6394
"dep.13.b",13,2,2.3573954112025,38,0.494
"dep.14.b",14,8,2.22984769914283,18,0.4902
"dep.15.b",15,3,2.52635427917304,37,0.648
"dep.17.b",17,4,2.2676730715747,15,0.555
"dep.18.b",18,3,2.48980860269636,38,0.847
"dep.19.b",19,4,2.58440406649688,11,0.9394
"dep.20.b",20,1,2.24765840995611,94,0.0432
"dep.21.b",21,12,2.81885475458975,22,0.5974
"dep.22.b",22,2,2.19322500971961,68,0.6304
"dep.23.b",23,2,2.31884905861073,74,0.1498
"dep.24.b",24,2,2.03207893355387,44,0.6842
"dep.25.b",25,3,2.65272691231902,6,0.3412
"dep.26.b",26,1,2.04543154757725,31,0.366
"dep.27.b",27,3,2.45913124769612,31,0.7168
"dep.28.b",28,2,2.39085325919186,33,0.1038
"dep.30.b",30,2,2.00265002572373,85,0.2726
"dep.31.b",31,4,2.22780828124376,38,0.7336
