"subsample","n_total","alpha","xmin","p","n_tail"
"1",379,2.6154287436742,7.18,0.329,95.396
"10",160,2.21219307708467,3.204,0.438,78.829
"100",55,2.41744255688873,2.756,0.242,31.018
"1000",46,3.13783272481739,4.502,0.2,21.587
"1001",66,2.85105152709559,4.973,0.849,31.24
"1002",24,1.79318048730676,1.326,0.569,22.491
"1003",84,2.61973331851326,5.361,0.389,33.326
"1004",30,1.73553919174184,1.272,0.312,28.285
"1005",94,2.57354730923238,3.281,0.065,42.735
"1006",123,2.457643476472,3.277,0.265,57.526
"1007",93,2.33673781311541,3.187,0.264,46.5
"1008",108,2.27728449402757,3.181,0.217,52.124
"1009",63,1.79850917255547,1.145,0.164,59.853
"101",46,1.90577629114771,2.36,0.157,32.081
"1010",10,2.02969609254084,1.358,0.278,9.36363636363636
"1011",31,2.05301751427124,2.167,0.14,22.207
"1012",71,2.16840900512901,3.195,0.155,39.309
"1013",54,2.29470611026365,2.376,0.186,36.577
"1014",139,2.26252209198472,3.308,0.596,67.528
"1015",88,2.10219947186687,2.4,0.045,58.68
"1016",379,2.13643531550357,3.419,0.053,162.708
"1017",78,2.43980568822236,3.058,0.407,39.885
"1018",78,2.37009495179224,3.011,0.409,38.932
"1019",25,1.98687142623641,2.284,0.31,18.747
"102",66,1.97264552669983,2.484,0.1,44.607
"1020",92,2.60662986131399,4.486,0.72,38.014
"1021",92,1.98556838204096,2.41,0.035,62.365
"1022",51,2.65672313314463,3.728,0.68,32.692
"1023",22,2.55538053217376,3.427,0.84,13.927
"1024",46,2.42277159859254,2.96,0.887,26.062
"1025",160,2.40528950164179,4.683,0.176,61.488
"1026",29,2.58142852670867,3.153,0.892,17.467
"1027",133,2.1764657601302,2.293,0.016,85.692
"1028",55,2.09369169790608,2.349,0.501,36.223
"1029",46,2.59615729991004,4.093,0.092,24.001
"103",24,2.65255458003512,3.209,0.451,15.098
"1030",66,1.82579041272293,1.116,0.474,63.4
"1031",24,2.78063881191182,3.792,0.641,16.194
"1032",84,2.11688263102692,2.333,0.164,57.827
"1033",30,2.28163272792064,2.395,0.427,22.117
"1034",94,2.65960069401718,5.977,0.737,38.646
"1035",123,2.59559877000744,6.651,0.522,44.024
"1036",93,2.28752746499255,5.205,0.523,40.698
"1037",108,2.7496078215775,3.325,0.616,57.13
"1038",63,2.75023084833471,4.138,0.29,28.174
"1039",10,2.1993609480841,2.476,0.816,8.199
"104",84,2.18117149639608,2.298,0.057,54.224
"1040",31,1.85898794407354,1.247,0.502,29.059
"1041",71,2.09167552194349,3.417,0.955,38.268
"1042",54,1.9646846149314,2.142,0.096,37.083
"1043",139,2.02453195856517,2.348,0.005,85.899
"1044",88,2.31732999349208,3.034,0.261,45.66
"1045",379,2.39413347497103,5.534,0.426,114.123
"1046",78,3.35351641107022,5.391,0.269,26.432
"1047",78,2.17505649060114,3.044,0.41,41.361
"1048",25,3.86609432994649,4.26,0.308,12.431
"1049",92,2.76606197694659,4.372,0.666,35.088
"105",30,2.18074317583222,2.7,0.427,19.948
"1050",92,2.25704911458017,3.269,0.919,45.055
"1051",51,2.91881669784068,4.767,0.623,23.054
"1052",22,2.2170749663693,2.569,0.487,16.502
"1053",46,2.81293432926493,3.932,0.975,22.044
"1054",160,2.89899163920635,5.614,0.742,55.696
"1055",29,2.0229983662404,2.999,0.411,19.782
"1056",133,2.05282957413407,2.343,0.075,90.781
"1057",55,2.91353378784041,3.573,0.601,29.332
"1058",46,2.19351388880982,2.576,0.459,30.951
"1059",66,3.00532077803815,5.237,0.047,25.7
"106",94,2.61292044228723,4.3,0.793,38.565
"1060",24,1.72542737723772,1.384,0.256,22.382
"1061",84,2.29977637666383,5.025,0.434,38.5
"1062",30,2.3363337030163,2.419,0.238,21.282
"1063",94,2.24049924964947,2.957,0.908,49.782
"1064",123,2.2546792595573,3.457,0.861,61.679
"1065",93,2.2465013439514,4.613,0.626,41.416
"1066",108,1.94415233061345,2.421,0.032,71.058
"1067",63,2.72838137281021,5.719,0.73,32.064
"1068",10,3.04756435321501,2.447,0.297,7.62751004016064
"1069",31,1.71456044774878,1.341,0.058,28.951
"107",123,2.03457011383853,2.298,0.118,85.789
"1070",71,2.62171095522989,3.168,0.82,33.096
"1071",54,3.35912902674269,4.133,0.585,21.657
"1072",139,1.92607048870638,2.438,0.119,93.585
"1073",88,2.10213963930559,2.036,0.054,55.862
"1074",379,2.52781718499084,5.755,0.824,108.724
"1075",78,2.3049109137744,3.293,0.463,40.004
"1076",78,2.1077718275461,3.08,0.245,43.168
"1077",25,2.17918167440611,1.123,0.106,23.810621242485
"1078",92,3.02674074346082,5.815,0.08,34.178
"1079",92,2.85091237089821,5.866,0.558,34.158
"108",93,2.04677839346608,2.349,0.408,57.388
"1080",51,2.35073485135891,2.321,0.208,33.178
"1081",22,2.49688852052173,2.217,0.682,15.596
"1082",46,3.10300180609039,4.922,0.874,20.292
"1083",160,2.20671315632569,4.085,0.554,71.906
"1084",29,2.29455626081534,2.246,0.431,19.986
"1085",133,2.05210328785716,2.315,0.151,84.004
"1086",55,2.03821768343549,2.565,0.248,35.625
"1087",46,2.35645009828026,2.763,0.582,27.151
"1088",66,1.99022876163257,2.419,0.067,44.207
"1089",24,2.35497842521639,2.551,0.456,16.467
"109",108,2.88602463606316,5.383,0.285,36.807
"1090",84,2.0950951123797,3.134,0.674,45.275
"1091",30,2.25125143841244,2.397,0.353,20.768
"1092",94,2.9518138399139,5.817,0.455,38.877
"1093",123,2.08225753579629,3.356,0.284,60.038
"1094",93,2.13226425477911,3.832,0.956,48.447
"1095",108,2.02726187895011,2.377,0.145,69.33
"1096",63,2.11610923395345,4.084,0.364,35.528
"1097",10,2.05667836259983,1.146,0.498,9.60480349344978
"1098",31,2.20870994862061,2.323,0.109,21.297
"1099",71,2.47149198430093,3.535,0.876,34.595
"11",29,2.65182948429375,4.197,0.763,16.172
"110",63,2.3878966435802,2.272,0.504,43.203
"1100",54,2.21315016332881,2.37,0.297,35.851
"1101",139,2.05815777614985,2.324,0.445,91.369
"1102",88,2.42745336277215,3.819,0.139,40.475
"1103",379,2.2222562478036,4.865,0.113,141.052
"1104",78,2.37869222000877,2.942,0.734,39.041
"1105",78,2.1522655220606,2.755,0.729,44.575
"1106",25,3.96669827397941,3.752,0.92,12.626
"1107",92,2.89025438902577,4.959,0.335,35.379
"1108",92,2.11215965616112,3.184,0.629,53.477
"1109",51,2.11990395665221,2.389,0.31,33.981
"111",10,3.17400058828725,3.192,0.665,7.259
"1110",22,2.66737016419815,2.244,0.233,15.319
"1111",46,2.11012967968032,3.268,0.262,27.877
"1112",160,2.40822153754311,5.798,0.787,59.165
"1113",29,2.59788443170408,3.285,0.703,16.912
"1114",133,2.51854182496816,4.316,0.183,50.512
"1115",55,4.42000406335369,4.458,0.905,20.302
"1116",46,2.95752603714361,4.195,0.013,21.69
"1117",66,2.65142648492657,4.646,0.492,32.787
"1118",24,3.5229035920099,2.969,0.78,13.355
"1119",84,2.05911929091724,4.526,0.439,41.559
"112",31,2.53444700888715,4.689,0.623,19.808
"1120",30,3.42801789213965,4.661,0.504,16.886
"1121",94,1.67764971444402,1.2,0,88.651
"1122",123,2.20896918693941,3.271,0.045,64.759
"1123",93,4.03559354283816,5.582,0.895,42.533
"1124",108,1.95908378653189,2.363,0.09,70.047
"1125",63,5.55232178240362,6.607,0.822,20.309
"1126",10,2.38300167042233,2.64,0.452,8.32665330661323
"1127",31,3.21021579562234,4.411,0.256,16.388
"1128",71,2.00721372495981,2.401,0.474,45.646
"1129",54,2.23058638618224,4.175,0.217,29.487
"113",71,2.07423626814331,2.435,0.006,50.28
"1130",139,3.15357919033399,4.692,0.11,43.781
"1131",88,1.94263341701547,2.435,0.133,64.123
"1132",379,1.96235707051887,2.288,0,233.464
"1133",78,1.9072516697098,2.146,0.449,52.219
"1134",78,2.07300971235761,2.916,0.322,46.028
"1135",25,2.06390630725729,2.118,0.534,18.853
"1136",92,3.05601742319687,5.501,0.236,31.874
"1137",92,2.61519095799553,5.014,0.99,35.923
"1138",51,3.06072327138125,4.388,0.527,22.498
"1139",22,2.59554295667564,2.338,0.029,15.83
"114",54,2.20402180011042,4.671,0.65,29.974
"1140",46,2.53252344226666,2.282,0.414,29.005
"1141",160,2.14216968617368,4.281,0.015,66.189
"1142",29,2.47872256352269,2.338,0.689,19.122
"1143",133,1.92753991902326,2.451,0.037,84.766
"1144",55,2.02233083549802,2.2,0.12,36.642
"1145",46,2.6584432381475,3.478,0.588,24.085
"1146",66,2.12166139993997,2.341,0.111,44.278
"1147",24,2.58404639673213,3.516,0.847,15.646
"1148",84,1.96036971395671,2.364,0.06,53.901
"1149",30,1.65760927839868,1.371,0.202,28.137
"115",139,2.54309101189657,4.329,0.407,52.819
"1150",94,2.45560348631811,4.666,0.13,40.73
"1151",123,2.90554301689895,6.096,0.233,37.804
"1152",93,2.5761396925637,3.246,0.933,45.585
"1153",108,2.12841858445053,3.13,0.146,56.858
"1154",63,2.2412788548959,3.126,0.401,34.537
"1155",10,1.98230770448281,1.378,0.207,9.35942327497425
"1156",31,2.42049641689302,3.441,0.351,19.393
"1157",71,3.0339008173083,7.636,0.243,28.245
"1158",54,2.91165956630027,4.571,0.257,25.974
"1159",139,2.28911404041188,3.358,0.595,72.373
"116",88,2.36807272808814,2.774,0.715,43.947
"1160",88,2.12255992467687,3.562,0.19,46.713
"1161",379,2.41734606296572,6.44,0.341,117.368
"1162",78,2.83638433058441,5.302,0.662,30.691
