"subsample","n_total","alpha","xmin","p","n_tail"
"1",8,2.30122336688711,1.926,0.89,6.79396984924623
"10",26,2.01646265057831,2.338,0.565,19.346
"100",46,2.1190277181185,2.404,0.6,30.768
"101",26,2.37169968228956,2.817,0.797,17.307
"102",70,2.4444513746267,3.854,0.347,32.878
"103",13,3.02363873038272,2.805,0.563,8.92592592592593
"104",18,2.94003506176393,2.019,0.082,12.5341365461847
"105",50,3.63073240628523,4.677,0.461,20.25
"106",8,2.22766589657235,1.905,0.806,6.86317907444668
"107",46,2.0183932078905,2.495,0.746,33.985
"108",26,2.25002032758706,2.114,0.464,18.504
"109",70,2.44583654664997,4.316,0.047,32.807
"11",70,2.3392340145659,4.96,0.599,34.031
"110",13,2.52157090000016,2.455,0.572,9.641
"111",18,2.79909270752074,3.449,0.155,11.602
"112",50,2.57239304128108,2.941,0.789,26.287
"113",8,4.24854885561748,7.021,0.354,5.93574297188755
"114",46,2.12335704258519,2.332,0.483,30.456
"115",26,2.35179815143586,2.458,0.256,19.938
"116",70,2.37287387604783,2.695,0.599,40.56
"117",13,2.53499357450869,2.327,0.746,10.3813813813814
"118",18,2.0600123468362,1.262,0.178,16.6913827655311
"119",50,1.98302707715522,2.145,0.224,34.773
"12",13,1.70897260486483,1.747,0.33,11.8888888888889
"120",8,2.88894745124637,2.302,0.498,6.67893660531697
"121",46,2.34944843392932,4.019,0.199,25.913
"122",26,2.41354996217029,2.173,0.099,17.737
"123",70,2.30210552330035,3.438,0.121,35.517
"124",13,2.20827650600043,2.386,0.891,10.2212212212212
"125",18,1.87170638940308,1.398,0.402,16.5245245245245
"126",50,1.64430340458788,1.292,0.01,47.138
"127",8,2.35814858203371,3.616,0.72,6.821
"128",46,2.11660904197698,2.393,0.056,30.874
"129",26,1.89776617350388,1.214,0.63,24.59
"13",18,2.7207507885942,3.116,0.703,11.705
"130",70,2.10155757591814,2.195,0.031,43.552
"131",13,3.79743770847902,3.371,0.657,8.767
"132",18,2.89544383985848,3.361,0.587,12.921
"133",50,3.83858334863319,6.287,0.581,18.264
"134",8,1.76304714192838,1.656,0.395,7.48920863309352
"135",46,2.2723946540998,2.91,0.594,30.05
"136",26,2.6751164589682,4.294,0.962,15.01
"137",70,2.40214130149958,3.449,0.465,34.616
"138",13,2.68928320901896,1.78,0.531,10.5680166147456
"139",18,2.09924825922517,3.28,0.838,12.963
"14",50,1.83313579247973,1.156,0.089,47.613
"140",50,2.05467063042662,2.292,0.098,33.479
"141",8,2.51031334716173,2.488,0.395,6.45233265720081
"142",46,2.83773238870878,4.454,0.477,21.612
"143",26,2.46846052632376,1.91,0.639,18.148
"144",70,2.18259493991393,3.159,0.614,37.787
"145",13,2.2303300478739,2.811,0.719,10.816
"146",18,3.34768464519063,3.278,0.302,11.922
"147",50,2.19128847683555,2.319,0.571,35.021
"148",8,2.23192512914282,2.348,0.728,6.89278557114228
"149",46,2.41162982931728,2.223,0.864,28.475
"15",8,2.42957053065582,3.893,0.493,6.574
"150",26,2.01402098273819,1.194,0.13,24.463
"151",70,2.38326719610535,4.234,0.24,34.513
"152",13,3.78693834803495,5.1,0.385,8.01501501501502
"153",18,3.02039004515846,5.186,0.105,10.675
"154",50,2.22112924017926,2.379,0.211,35.609
"155",8,1.52419479449018,1.012,1,7.92207792207792
"156",46,2.24699924981778,2.39,0.762,32.115
"157",26,2.27012768811007,2.387,0.875,18.342
"158",70,3.22058452088954,4.311,0.489,27.045
"159",13,1.79723574741561,1.503,0.365,11.9989969909729
"16",46,2.87914971649201,6.958,0.937,26.181
"160",18,2.75336959349878,2.29,0.525,13.912
"161",50,2.505145071144,3.326,0.717,27.792
"162",8,1.89711149107332,1.346,0.317,7.54585152838428
"163",46,2.32671618745126,3.171,0.034,25.875
"164",26,2.15962575089105,2.45,0.529,18.867
"165",70,2.23628723086118,3.46,0.704,35.926
"166",13,2.64083367717109,2.549,0.163,9.46940822467402
"167",18,1.65738717483045,1.723,0.026,16.327
"168",50,2.50384759129994,3.271,0.062,26.675
"169",8,2.62871262905691,3.626,0.419,6.23023023023023
"17",26,1.88812073006033,1.218,0.211,24.568
"170",46,2.69262040555518,5.112,0.724,21.357
"171",26,2.48334551945878,2.219,0.718,17.589
"172",70,2.51544495764984,4.176,0.504,36.172
