"ID_sample","identifier"
"1","Sample 147"
"2","Sample 35"
"3","Sample 24"
"4","Sample 31"
"5","Sample 31"
"6","Sample 11"
"7","Sample 28"
"8","Sample 27"
"9","Sample 29"
"10","Sample 29"
"11","Sample 19"
"12","Sample 48"
"13","Sample 15"
"14","Sample 30"
"15","Sample 11"
"16","Sample 53"
"17","Sample 13"
"18","Sample 46"
"19","Sample 21"
"20","Sample 52"
"21","Sample 15"
"22","Sample 21"
"23","Sample 24"
"24","Sample 147"
"25","Sample 35"
"26","Sample 24"
"27","Sample 31"
"28","Sample 31"
"29","Sample 11"
"30","Sample 28"
"31","Sample 27"
"32","Sample 29"
"33","Sample 29"
"34","Sample 19"
"35","Sample 48"
"36","Sample 15"
"37","Sample 30"
"38","Sample 11"
"39","Sample 53"
"40","Sample 13"
"41","Sample 46"
"42","Sample 21"
"43","Sample 52"
"44","Sample 15"
"45","Sample 21"
"46","Sample 24"
"47","Sample 147"
"48","Sample 35"
"49","Sample 24"
"50","Sample 31"
"51","Sample 31"
"52","Sample 11"
"53","Sample 28"
"54","Sample 27"
"55","Sample 29"
"56","Sample 29"
"57","Sample 19"
"58","Sample 48"
"59","Sample 15"
"60","Sample 30"
"61","Sample 11"
"62","Sample 53"
"63","Sample 13"
"64","Sample 46"
"65","Sample 21"
"66","Sample 52"
"67","Sample 15"
"68","Sample 21"
"69","Sample 24"
"70","Sample 147"
"71","Sample 35"
"72","Sample 24"
"73","Sample 31"
"74","Sample 31"
"75","Sample 11"
"76","Sample 28"
"77","Sample 27"
"78","Sample 29"
"79","Sample 29"
"80","Sample 19"
"81","Sample 48"
"82","Sample 15"
"83","Sample 30"
"84","Sample 11"
"85","Sample 53"
"86","Sample 13"
"87","Sample 46"
"88","Sample 21"
"89","Sample 52"
"90","Sample 15"
"91","Sample 21"
"92","Sample 24"
"93","Sample 147"
"94","Sample 35"
"95","Sample 24"
"96","Sample 31"
"97","Sample 31"
"98","Sample 11"
"99","Sample 28"
"100","Sample 27"
"101","Sample 29"
"102","Sample 29"
"103","Sample 19"
"104","Sample 48"
"105","Sample 15"
"106","Sample 30"
"107","Sample 11"
"108","Sample 53"
"109","Sample 13"
"110","Sample 46"
"111","Sample 21"
