"ID_sample","identifier"
"1","Sample 8"
"2","Sample 46"
"3","Sample 26"
"4","Sample 70"
"5","Sample 13"
"6","Sample 18"
"7","Sample 50"
"8","Sample 8"
"9","Sample 46"
"10","Sample 26"
"11","Sample 70"
"12","Sample 13"
"13","Sample 18"
"14","Sample 50"
"15","Sample 8"
"16","Sample 46"
"17","Sample 26"
"18","Sample 70"
"19","Sample 13"
"20","Sample 18"
"21","Sample 50"
"22","Sample 8"
"23","Sample 46"
"24","Sample 26"
"25","Sample 70"
"26","Sample 13"
"27","Sample 18"
"28","Sample 50"
"29","Sample 8"
"30","Sample 46"
"31","Sample 26"
"32","Sample 70"
"33","Sample 13"
"34","Sample 18"
"35","Sample 50"
"36","Sample 8"
"37","Sample 46"
"38","Sample 26"
"39","Sample 70"
"40","Sample 13"
"41","Sample 18"
"42","Sample 50"
"43","Sample 8"
"44","Sample 46"
"45","Sample 26"
"46","Sample 70"
"47","Sample 13"
"48","Sample 18"
"49","Sample 50"
"50","Sample 8"
"51","Sample 46"
"52","Sample 26"
"53","Sample 70"
"54","Sample 13"
"55","Sample 18"
"56","Sample 50"
"57","Sample 8"
"58","Sample 46"
"59","Sample 26"
"60","Sample 70"
"61","Sample 13"
"62","Sample 18"
"63","Sample 50"
"64","Sample 8"
"65","Sample 46"
"66","Sample 26"
"67","Sample 70"
"68","Sample 13"
"69","Sample 18"
"70","Sample 50"
"71","Sample 8"
"72","Sample 46"
"73","Sample 26"
"74","Sample 70"
"75","Sample 13"
"76","Sample 18"
"77","Sample 50"
"78","Sample 8"
"79","Sample 46"
"80","Sample 26"
"81","Sample 70"
"82","Sample 13"
"83","Sample 18"
"84","Sample 50"
"85","Sample 8"
"86","Sample 46"
"87","Sample 26"
"88","Sample 70"
"89","Sample 13"
"90","Sample 18"
"91","Sample 50"
"92","Sample 8"
"93","Sample 46"
"94","Sample 26"
"95","Sample 70"
"96","Sample 13"
"97","Sample 18"
"98","Sample 50"
"99","Sample 8"
"100","Sample 46"
"101","Sample 26"
"102","Sample 70"
"103","Sample 13"
"104","Sample 18"
"105","Sample 50"
"106","Sample 8"
"107","Sample 46"
"108","Sample 26"
"109","Sample 70"
"110","Sample 13"
"111","Sample 18"
"112","Sample 50"
"113","Sample 8"
"114","Sample 46"
"115","Sample 26"
"116","Sample 70"
"117","Sample 13"
"118","Sample 18"
"119","Sample 50"
"120","Sample 8"
"121","Sample 46"
"122","Sample 26"
"123","Sample 70"
"124","Sample 13"
"125","Sample 18"
"126","Sample 50"
"127","Sample 8"
"128","Sample 46"
"129","Sample 26"
"130","Sample 70"
"131","Sample 13"
"132","Sample 18"
"133","Sample 50"
"134","Sample 8"
"135","Sample 46"
"136","Sample 26"
"137","Sample 70"
"138","Sample 13"
"139","Sample 18"
"140","Sample 50"
"141","Sample 8"
"142","Sample 46"
"143","Sample 26"
"144","Sample 70"
"145","Sample 13"
"146","Sample 18"
"147","Sample 50"
"148","Sample 8"
"149","Sample 46"
"150","Sample 26"
"151","Sample 70"
"152","Sample 13"
"153","Sample 18"
"154","Sample 50"
"155","Sample 8"
"156","Sample 46"
"157","Sample 26"
"158","Sample 70"
"159","Sample 13"
"160","Sample 18"
"161","Sample 50"
"162","Sample 8"
"163","Sample 46"
"164","Sample 26"
"165","Sample 70"
"166","Sample 13"
"167","Sample 18"
"168","Sample 50"
"169","Sample 8"
"170","Sample 46"
"171","Sample 26"
"172","Sample 70"
"173","Sample 13"
"174","Sample 18"
"175","Sample 50"
"176","Sample 8"
"177","Sample 46"
"178","Sample 26"
"179","Sample 70"
"180","Sample 13"
"181","Sample 18"
"182","Sample 50"
"183","Sample 8"
"184","Sample 46"
"185","Sample 26"
"186","Sample 70"
"187","Sample 13"
"188","Sample 18"
"189","Sample 50"
"190","Sample 8"
"191","Sample 46"
"192","Sample 26"
"193","Sample 70"
"194","Sample 13"
"195","Sample 18"
"196","Sample 50"
"197","Sample 8"
"198","Sample 46"
"199","Sample 26"
"200","Sample 70"
"201","Sample 13"
"202","Sample 18"
"203","Sample 50"
"204","Sample 8"
"205","Sample 46"
"206","Sample 26"
"207","Sample 70"
"208","Sample 13"
"209","Sample 18"
"210","Sample 50"
"211","Sample 8"
"212","Sample 46"
"213","Sample 26"
"214","Sample 70"
"215","Sample 13"
"216","Sample 18"
"217","Sample 50"
"218","Sample 8"
"219","Sample 46"
"220","Sample 26"
"221","Sample 70"
"222","Sample 13"
"223","Sample 18"
"224","Sample 50"
"225","Sample 8"
"226","Sample 46"
"227","Sample 26"
"228","Sample 70"
"229","Sample 13"
"230","Sample 18"
"231","Sample 50"
"232","Sample 8"
"233","Sample 46"
"234","Sample 26"
"235","Sample 70"
"236","Sample 13"
"237","Sample 18"
"238","Sample 50"
"239","Sample 8"
"240","Sample 46"
"241","Sample 26"
"242","Sample 70"
"243","Sample 13"
"244","Sample 18"
"245","Sample 50"
"246","Sample 8"
"247","Sample 46"
"248","Sample 26"
"249","Sample 70"
"250","Sample 13"
"251","Sample 18"
"252","Sample 50"
"253","Sample 8"
"254","Sample 46"
"255","Sample 26"
"256","Sample 70"
"257","Sample 13"
"258","Sample 18"
"259","Sample 50"
"260","Sample 8"
"261","Sample 46"
"262","Sample 26"
"263","Sample 70"
"264","Sample 13"
"265","Sample 18"
"266","Sample 50"
"267","Sample 8"
"268","Sample 46"
"269","Sample 26"
"270","Sample 70"
"271","Sample 13"
"272","Sample 18"
"273","Sample 50"
"274","Sample 8"
"275","Sample 46"
"276","Sample 26"
"277","Sample 70"
"278","Sample 13"
"279","Sample 18"
"280","Sample 50"
"281","Sample 8"
"282","Sample 46"
"283","Sample 26"
"284","Sample 70"
"285","Sample 13"
"286","Sample 18"
"287","Sample 50"
"288","Sample 8"
"289","Sample 46"
"290","Sample 26"
"291","Sample 70"
"292","Sample 13"
"293","Sample 18"
"294","Sample 50"
"295","Sample 8"
"296","Sample 46"
"297","Sample 26"
"298","Sample 70"
"299","Sample 13"
"300","Sample 18"
"301","Sample 50"
"302","Sample 8"
"303","Sample 46"
"304","Sample 26"
"305","Sample 70"
"306","Sample 13"
"307","Sample 18"
"308","Sample 50"
"309","Sample 8"
"310","Sample 46"
"311","Sample 26"
"312","Sample 70"
"313","Sample 13"
"314","Sample 18"
"315","Sample 50"
"316","Sample 8"
"317","Sample 46"
"318","Sample 26"
"319","Sample 70"
"320","Sample 13"
"321","Sample 18"
"322","Sample 50"
"323","Sample 8"
"324","Sample 46"
"325","Sample 26"
"326","Sample 70"
"327","Sample 13"
"328","Sample 18"
"329","Sample 50"
"330","Sample 8"
"331","Sample 46"
"332","Sample 26"
"333","Sample 70"
"334","Sample 13"
"335","Sample 18"
"336","Sample 50"
"337","Sample 8"
"338","Sample 46"
"339","Sample 26"
"340","Sample 70"
"341","Sample 13"
"342","Sample 18"
"343","Sample 50"
"344","Sample 8"
"345","Sample 46"
"346","Sample 26"
"347","Sample 70"
"348","Sample 13"
"349","Sample 18"
"350","Sample 50"
